Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Enigma Technologies,https://www.crunchbase.com/organization/enigma-technologies,"Big Data, Compliance, Enterprise Software, GovTech, Open Source","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2011-01-01,year,,,2018-09-18,95000000,USD,95000000,Series C,95000000,USD,95000000,Late Stage Venture,"Comcast Ventures, Crosslink Capital, New Enterprise Associates, The New York Times, Two Sigma Ventures",21
Arival Bank,https://www.crunchbase.com/organization/arival-bank,"Banking, Compliance, FinTech, Identity Management","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2017-08-03,day,,,2018-01-15,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
Xref,https://www.crunchbase.com/organization/xref,"Compliance, Human Resources, Management Consulting","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2010-01-01,year,2007-04-27,day,2017-08-02,7500000,USD,7500000,Post-IPO Equity,7500000,USD,7500000,IPO,,
Chainvine,https://www.crunchbase.com/organization/chainvine,"Asset Management, Compliance, Cyber Security, Database, Enterprise Software, Intelligent Systems, Software, Supply Chain Management","London, England, United Kingdom",European Union (EU),2015-06-01,day,,,2018-06-04,2500000,GBP,3328996,Series A,2500000,GBP,3328996,Early Stage Venture,Deepbridge Capital,1
Libryo,https://www.crunchbase.com/organization/libryo,"Compliance, Environmental Consulting, Legal","London, England, United Kingdom",European Union (EU),2016-03-16,day,,,2018-05-18,,,,Seed,,,,Seed,"Force Over Mass Capital, Innogy Innovation Hub, Nextlaw Labs, Seedcamp",4
Storage Made Easy,https://www.crunchbase.com/organization/storage-made-easy,"Cloud Computing, Cloud Security, Compliance, Enterprise Software, File Sharing, Media and Entertainment","Sutton, Surrey, United Kingdom",European Union (EU),2009-11-17,day,,,2018-04-04,3000000,GBP,4226352,Series A,3000000,GBP,4226352,Early Stage Venture,,
SwiftComply,https://www.crunchbase.com/organization/swiftcomply-ie,"Compliance, Hospitality, Restaurants","Dublin, Dublin, Ireland",European Union (EU),2016-11-01,day,,,2017-11-16,,,,Venture - Series Unknown,,,,,"Arts Alliance, Chris Adelsbach, EASME - EU Executive Agency for SMEs, HOWZAT Partners, Techstars",9
Apptega,https://www.crunchbase.com/organization/apptega,"Cloud Computing, Compliance, Cyber Security, SaaS","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2017-01-01,month,,,2018-09-18,700000,USD,700000,Seed,700000,USD,700000,Seed,"Ascent Capital, Circadian Group, TiE Angels, Triton Claims Management",4
Governance.com,https://www.crunchbase.com/organization/2gears-s-a,"Asset Management, Compliance, Consulting, Enterprise Software, FinTech, Risk Management, Software","Luxembourg, Luxembourg, Luxembourg",European Union (EU),2011-11-20,day,,,2018-09-12,,,,Series A,,,,Early Stage Venture,Banque Internationale à Luxembourg,1
ICW,https://www.crunchbase.com/organization/ic-workshop,"Analytics, Compliance, Supply Chain Management","Kowloon City, Kowloon, Hong Kong",Asia-Pacific (APAC),2016-01-01,month,,,2019-04-11,2520000,USD,2520000,Series A,2520000,USD,2520000,Early Stage Venture,"Betatron, Innovation and Technology Venture Fund, MindWorks Ventures, The Aria Group",4
Tigera,https://www.crunchbase.com/organization/tigera,"Cloud Security, Compliance, Cyber Security, Enterprise Software, Network Security, Open Source, SaaS, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,,,2018-12-12,30000000,USD,30000000,Series B,30000000,USD,30000000,Early Stage Venture,"Insight Partners, Madrona Venture Group, New Enterprise Associates, Secure Octane, Wing Venture Capital",6
moneytor,https://www.crunchbase.com/organization/moneytor,"Compliance, Debt Collections, Financial Services, FinTech, Machine Learning","Mumbai, Maharashtra, India",Asia-Pacific (APAC),2017-01-01,year,,,2018-01-11,300000,USD,300000,Seed,300000,USD,300000,Seed,"500 Startups, ISME ACE - FinTech Accelerator",2
Popit Medical Technologies,https://www.crunchbase.com/organization/popit-medical-technologies,"Compliance, Medical, Personal Health, Pharmaceutical, Women's","Espoo, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",2016-01-01,year,,,2017-08-23,1200000,EUR,1417960,Seed,1200000,EUR,1417960,Seed,"Amor & Labor Oy, Butterfly Ventures, Tekes",3
algoreg,https://www.crunchbase.com/organization/algoreg,"Compliance, Financial Services, FinTech, Management Consulting","Luxembourg, Luxembourg, Luxembourg",European Union (EU),2017-02-01,month,,,2018-02-18,1000000,USD,1000000,Series A,1000000,USD,1000000,Early Stage Venture,"G&F fund, Huobi, Jean-Pierre Bitton",3
CyberSmart,https://www.crunchbase.com/organization/cybersmart-2,"Compliance, Cyber Security, SaaS, Small and Medium Businesses","London, England, United Kingdom",European Union (EU),2016-12-05,day,,,2017-09-11,15000,GBP,19753,Convertible Note,,,,Seed,"CyberSmart Angels, CyLon, NCSC Cyber Accelerator, Seedcamp",4
