Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Indorse,https://www.crunchbase.com/organization/indorse,"Blockchain, Ethereum, Skill Assessment, Social Network, Virtual Currency","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2017-05-01,month,,,2019-06-20,4500000,USD,4500000,Venture - Series Unknown,4500000,USD,4500000,,"Brand Capital, Coinsilium Group",2
Huobi,https://www.crunchbase.com/organization/huobi,"Bitcoin, Blockchain, Cryptocurrency, FinTech","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2013-01-01,year,,,2017-11-01,1000000,USD,1000000,Initial Coin Offering,1000000,USD,1000000,,Node Capital,1
Fnality International,https://www.crunchbase.com/organization/fnality-international,"Blockchain, Ethereum, Finance, Financial Services, FinTech","London, England, United Kingdom",European Union (EU),2019-04-01,month,,,2019-06-03,50000000,GBP,63318229,Series A,50000000,GBP,63318229,Early Stage Venture,"Banco Santander, Credit Suisse, ING Group, NASDAQ, State Street",14
SFOX,https://www.crunchbase.com/organization/sfox,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, FinTech, Trading Platform, Virtual Currency","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-01-01,year,,,2018-08-16,23000000,USD,23000000,Series A,23000000,USD,23000000,Early Stage Venture,"Blockchain Capital, Plug and Play, SV Angel, Tribe Capital, Y Combinator",12
Diginex,https://www.crunchbase.com/organization/diginex,"Blockchain, Cryptocurrency, FinTech","Central, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),2017-01-01,year,,,2018-04-27,60000000,USD,60000000,Private Equity,60000000,USD,60000000,Private Equity,"Madison Holdings Group, MTI Ltd.",2
Bitwise Asset Management,https://www.crunchbase.com/organization/bitwise-asset-management,"Blockchain, Cryptocurrency, Financial Services, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2017-12-12,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,"Blockchain Capital, Collaborative Fund, Elad Gil, General Catalyst, Khosla Ventures",15
Ethereum Foundation,https://www.crunchbase.com/organization/ethereum,"Application Performance Management, Blockchain, Consumer Applications, Developer APIs, Ethereum, Open Source","Bern, Bern, Switzerland",,2014-07-06,day,,,2017-07-03,,,,Undisclosed,,,,,"8 Decimal Capital, Alexis Berthoud, Block Ventures, Hashed, KR1",10
Wirex,https://www.crunchbase.com/organization/wirex-limited,"Bitcoin, Blockchain, Financial Services, FinTech, Personal Finance","London, England, United Kingdom",European Union (EU),2014-12-01,day,,,2019-06-14,,,,Series B,,,,Early Stage Venture,"China Creation Ventures (CCV), SBI Group",2
BitGo,https://www.crunchbase.com/organization/bitgo,"Bitcoin, E-Commerce, Financial Services, Internet, Network Security","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-04-01,,,,Series B,,,,Early Stage Venture,"Blockchain Capital, Founders Fund, Galaxy Digital LP, Redpoint, Valor Equity Partners",19
Securitize,https://www.crunchbase.com/organization/securitize-inc,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-18,day,,,2018-11-26,12750000,USD,12750000,Series A,12750000,USD,12750000,Early Stage Venture,"9Yards Capital, Blockchain Capital, Coinbase Ventures, Global Brain Corporation, Ripple",8
