Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Kalepso,https://www.crunchbase.com/organization/kalepso,"Big Data, Cyber Security, Database, Information Services, Information Technology, Machine Learning, Privacy","Montréal, Quebec, Canada",,2017-01-01,year,,,2017-10-01,800000,CAD,640959,Pre-Seed,800000,CAD,640959,Seed,TandemLaunch,1
Cambridge Blockchain,https://www.crunchbase.com/organization/cambridge-blockchain,"Blockchain, Cyber Security, Financial Services, Identity Management, Information Technology, Privacy, Software","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2015-01-01,year,,,2019-04-02,3500000,USD,3500000,Series A,3500000,USD,3500000,Early Stage Venture,"Digital Currency Group, Flourish Venture, Omidyar Network, Partech, PayPal",10
PORT,https://www.crunchbase.com/organization/port,"Data Storage, Information Technology, Internet, PaaS, Privacy","London, England, United Kingdom",European Union (EU),2015-11-20,day,,,2017-07-31,500000,GBP,659905,Seed,500000,GBP,659905,Seed,"Startupbootcamp, Startupbootcamp InsurTech London",2
Dominode,https://www.crunchbase.com/organization/dominode,"Blockchain, Identity Management, Information Technology, Mobile, Mobile Apps, Privacy","Boca Raton, Florida, United States","Greater Miami Area, East Coast, Southern US",2017-07-19,day,,,2018-01-26,1300000,USD,1300000,Angel,1300000,USD,1300000,Seed,Blockchain Ventures Corp,1
Dimension,https://www.crunchbase.com/organization/dimension-293e,"Artificial Intelligence, Big Data, Blockchain, Natural Language Processing, Privacy, Security","Tokyo, Tokyo, Japan",Asia-Pacific (APAC),2017-12-01,day,,,2018-10-15,400000,USD,400000,Series A,400000,USD,400000,Early Stage Venture,"FREES FUND, NEO Global Capital (NGC)",2
NUTS Technologies Inc.,https://www.crunchbase.com/organization/nuts-technologies,"Cyber Security, Information Technology, Privacy, Security","Glencoe, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2016-01-01,year,,,2018-04-16,2300000,USD,2300000,Seed,2300000,USD,2300000,Seed,,
D-ID,https://www.crunchbase.com/organization/d-id,"Artificial Intelligence, Facial Recognition, Privacy","Tel Aviv, Tel Aviv, Israel",,2017-01-01,year,,,2019-01-01,71429,EUR,81868,Grant,4000000,USD,4000000,Seed,"EASME - EU Executive Agency for SMEs, Foundation Capital, Hyundai Motor Company, Pegasus Tech Ventures, Y Combinator",9
MyDocSafe,https://www.crunchbase.com/organization/mydocsafe,"Cloud Security, Customer Service, Cyber Security, Document Management, E-Signature, Identity Management, Information Technology, Privacy, Professional Services, Security","Bedford, Bedfordshire, United Kingdom",European Union (EU),2013-01-01,year,,,2017-09-01,125000,GBP,161875,Seed,125000,GBP,161875,Seed,"CyLon, SyndicateRoom",2
SVATech,https://www.crunchbase.com/organization/svatech,"Analytics, Information Technology, Operating Systems, Privacy, Video","Belo Horizonte, Minas Gerais, Brazil",,2015-01-01,year,,,2017-09-10,2500000,BRL,809611,Series A,2500000,BRL,809611,Early Stage Venture,Inseed Investimentos,1
Steel Mountain Systems Corp.,https://www.crunchbase.com/organization/steel-mountain-systems-corp,"Ad Network, Personalization, Privacy","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",2016-08-19,day,,,2018-01-15,120000,USD,120000,Seed,120000,USD,120000,Seed,"Mach37, StartupYard",2
Profila,https://www.crunchbase.com/organization/profila,"Advertising, Big Data, Consumer, Consumer Software, Education, Information Technology, Mobile, Mobile Apps, Privacy","Weggis, Luzern, Switzerland",,2015-01-01,year,,,2019-01-05,,,,Pre-Seed,,,,Seed,,
