Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
vArmour,https://www.crunchbase.com/organization/varmour-networks,"Mobile, Network Security, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,,,2019-02-06,44000000,USD,44000000,Series E,44000000,USD,44000000,Late Stage Venture,"Citi Ventures, DNX Ventures, Highland Capital Partners, Menlo Ventures, Telstra Ventures",11
RiskRecon,https://www.crunchbase.com/organization/riskrecon,"Cyber Security, Network Security, SaaS, Security","Salt Lake City, Utah, United States",Western US,2015-01-01,year,,,2018-08-07,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Accel, Dell Technologies Capital, Eight Roads Ventures, F-Prime Capital, General Catalyst",8
Liongard,https://www.crunchbase.com/organization/liongard,"Asset Management, Cloud Management, Cloud Security, Cyber Security, IT Infrastructure, IT Management, Network Security","Houston, Texas, United States","Greater Houston Area, Southern US",2015-08-01,month,,,2019-05-31,4500000,USD,4500000,Series A,4500000,USD,4500000,Early Stage Venture,"Gestalt Theory Venture Partners, Richard Yoo, TDF Ventures, ‎Integr8d Capital",4
VDOO,https://www.crunchbase.com/organization/vdoo,"Artificial Intelligence, Information Technology, Internet of Things, Network Security","Tel Aviv-yafo, Tel Aviv, Israel",,2017-01-01,year,,,2019-04-24,32000000,USD,32000000,Series B,32000000,USD,32000000,Early Stage Venture,"83North, Dell Technologies Capital, GGV Capital, MS&AD Ventures, NTT DoCoMo",10
Awake Security,https://www.crunchbase.com/organization/awake-security,"Cloud Security, Cyber Security, Network Security, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-10-01,month,,,2017-07-17,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,,"Bain Capital Ventures, Greylock Partners, Three Tree Ventures",3
Infocyte,https://www.crunchbase.com/organization/infocyte-inc,"Cyber Security, Network Security","Austin, Texas, United States",Southern US,2014-04-28,day,,,2018-02-09,5200000,USD,5200000,Series B,5200000,USD,5200000,Early Stage Venture,"Feik Enterprises, LiveOak Venture Partners, Toba Capital",3
Balbix,https://www.crunchbase.com/organization/balbix,"Computer, Network Security, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2018-06-27,20000000,USD,20000000,Series B,20000000,USD,20000000,Early Stage Venture,"John Chambers, Mayfield Fund, Mubadala Investment Company, Pankaj Patel, Singtel Innov8",7
Arkose Labs,https://www.crunchbase.com/organization/arkoselabs,"Cyber Security, FinTech, Fraud Detection, Network Security, SaaS, Security, Spam Filtering","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2018-11-15,6500000,USD,6500000,Corporate Round,6500000,USD,6500000,,"Brisbane Angels, Melbourne Angels, PayPal, Transition Level Investments, U.S. Venture Partners (USVP)",5
NeuVector,https://www.crunchbase.com/organization/neuvector,"Computer, Network Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2017-11-07,7000000,USD,7000000,Series A,7000000,USD,7000000,Early Stage Venture,"Fusion Fund, HWVP, Hummer Winblad Venture Partners, TSVC",3
Red Canary,https://www.crunchbase.com/organization/red-canary,"Cyber Security, Network Security, SaaS, Security","Denver, Colorado, United States","Greater Denver Area, Western US",2014-04-04,day,,,2019-04-30,34000000,USD,34000000,Venture - Series Unknown,34000000,USD,34000000,,"Access Venture Partners, Legion Capital, Noro-Moseley Partners, Service Provider Capital, Summit Partners",5
Obsidian Security,https://www.crunchbase.com/organization/obsidian-security,"Computer, Cyber Security, Network Security","Newport Beach, California, United States","Greater Los Angeles Area, West Coast, Western US",2017-01-01,year,,,2019-02-27,20000000,USD,20000000,Series B,20000000,USD,20000000,Early Stage Venture,"Greylock Partners, GV, Wing Venture Capital",3
Corelight,https://www.crunchbase.com/organization/corelight,"Cyber Security, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-01-01,year,,,2018-09-11,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Accel, General Catalyst, OUP (Osage University Partners), Steve McCanne",4
ThreatQuotient,https://www.crunchbase.com/organization/threatq,"Cyber Security, Network Security, Security","Reston, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2013-03-01,day,,,2017-11-13,30000000,USD,30000000,Series C,30000000,USD,30000000,Late Stage Venture,"Adams Street Partners, Cisco Investments, New Enterprise Associates, NTT DOCOMO Ventures, Silicon Valley Bank",11
ContaAzul,https://www.crunchbase.com/organization/contaazul,"B2B, E-Commerce, Education, Enterprise Resource Planning (ERP), Enterprise Software, Financial Services, Internet, Network Security, SaaS, Sales, Software","Joinville, Santa Catarina, Brazil",,2011-10-26,day,,,2018-04-03,30000000,USD,30000000,Series D,30000000,USD,30000000,Late Stage Venture,"500 Startups, Endeavor Catalyst, Monashees, Ribbit Capital, Tiger Global Management",7
XM Cyber,https://www.crunchbase.com/organization/xm-cyber,"Cyber Security, Network Security, Security","Herzliya, Tel Aviv, Israel",,2016-04-05,day,,,2018-11-13,22000000,USD,22000000,Series A,22000000,USD,22000000,Early Stage Venture,"Macquarie Capital, Nasdaq Ventures, Our Innovation Fund, LP, Swarth Group, UST Global",6
Medigate,https://www.crunchbase.com/organization/medigate-eae8,"Cyber Security, Health Care, Health Diagnostics, Network Security, Software","Tel Aviv, Tel Aviv, Israel",,2017-09-01,day,,,2019-01-29,15000000,USD,15000000,Series A,15000000,USD,15000000,Early Stage Venture,"Blumberg Capital, U.S. Venture Partners (USVP), YL Ventures",3
Very Good Security,https://www.crunchbase.com/organization/very-good-security,"Compliance, FinTech, Network Security, Payments, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2018-08-28,8500000,USD,8500000,Series A,8500000,USD,8500000,Early Stage Venture,"Andreessen Horowitz, Max Levchin, Nyca Partners, Slow Ventures, Vertex Ventures",12
"SpyCloud, Inc.",https://www.crunchbase.com/organization/spycloud-inc,"Cyber Security, Network Security, Security","Austin, Texas, United States",Southern US,2016-08-01,month,,,2019-02-27,21000000,USD,21000000,Series B,21000000,USD,21000000,Early Stage Venture,"Altos Ventures, M12, March Capital Partners, Silverton Partners",4
Perimeter 81,https://www.crunchbase.com/organization/perimeter-81,"Cloud Security, Cyber Security, Network Security, SaaS","Tel Aviv, Tel Aviv, Israel",,2018-01-01,month,,,2019-03-26,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"JAL Ventures, Spring Ventures",2
