Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Travala.com,"Blockchain, E-Commerce, Hotel, Information Technology, Travel, Travel Accommodations, Travel Agency","Eccleston, Lancashire, United Kingdom",502927.0,Equity Crowdfunding,502927.0,,1.0,2017.0,2019-03,20191Q,Crowdcube,,,,,European Union (EU),,
Sharebox,"Apps, Data Integration, Electronic Design Automation (EDA), Information Technology, Security, Self-Storage, Sharing Economy","Arendal, Aust-Agder, Norway",989155.0,Equity Crowdfunding,989155.0,,1.0,2016.0,2019-04,20192Q,Johannes Berggren,,,,,Nordic Countries, Scandinavia,
Wivity Inc.,"Cyber Security, Internet of Things, Power Grid, Security, Solar","San Francisco, California, United States",500000.0,Convertible Note,,,3.0,2015.0,2019-02,20191Q,500 Startups, Al Hamra Group, LaunchCapital,,,San Francisco Bay Area, West Coast, Western US
BLACKBIRD.AI,"Artificial Intelligence, Blockchain, Crowdsourcing, Government, Homeland Security, Journalism, National Security, Predictive Analytics, Public Safety, SaaS","San Francisco, California, United States",300000.0,Seed,300000.0,Seed,1.0,2014.0,2019-01,20191Q,Centrality,,,,,San Francisco Bay Area, West Coast, Western US
Blok-Z,"Blockchain, Electric Vehicle, Energy, Ethereum, Solar, Wholesale, Wind Energy","Berlin, Berlin, Germany",33000.0,Grant,200000.0,Seed,3.0,2019.0,2019-05,20192Q,ConsenSys Ventures, Draper University Ventures, Growth Circuit,,,European Union (EU),,
Forge Platform,Ethereum,"Woodland, California, United States",1000000.0,Seed,1000000.0,Seed,2.0,,2019-02,20191Q,Manta Ray Ventures, Upfront Ventures,,,,West Coast, Western US,
Most Caffeine,"Blockchain, Consulting, Cryptocurrency",,50000000.0,Venture - Series Unknown,50000000.0,,,,2019-06,20192Q,,,,,,,,
GeoDB,Blockchain,"Madrid, Madrid, Spain",1282435.0,Equity Crowdfunding,1282435.0,,1.0,,2019-03,20191Q,Crowdcube,,,,,European Union (EU),,
Finboot,"Blockchain, Enterprise Applications, Industrial Automation, Industrial Manufacturing, Internet, SaaS, Supply Chain Management","Barcelona, Catalonia, Spain",81868.0,Grant,296420.0,Seed,1.0,2016.0,2019-01,20191Q,EASME - EU Executive Agency for SMEs,,,,,European Union (EU),,
BEAD Technology,"Artificial Intelligence, Big Data, Blockchain, Clean Energy, Energy Efficiency, Energy Management, Internet of Things, Smart Building, Smart Cities","Berlin, Berlin, Germany",100000.0,Grant,,Seed,2.0,2015.0,2019-02,20191Q,Hardware.co Accelerator, Katapult Accelerator,,,,European Union (EU),,
BCDiploma,"Blockchain, Information Technology","La France, Rhone-Alpes, France",1525679.0,Venture - Series Unknown,1525679.0,,,,2019-05,20192Q,,,,,,European Union (EU),,
HyperQube,"Cyber Security, Information Technology, Training","Washington, District of Columbia, United States",500000.0,Seed,500000.0,Seed,6.0,2017.0,2019-05,20192Q,Adam Ghetti, CIT GAP Funds, Dmitry Dain, Mach37, Michael W. Wellman,Washington DC Metro Area, Southern US,
Aryze,"Cryptocurrency, Financial Services","Copenhagen, Hovedstaden, Denmark",1600000.0,Initial Coin Offering,1600000.0,,,2017.0,2019-01,20191Q,,,,,,European Union (EU), Nordic Countries, Scandinavia
Byos,"Cloud Security, Cyber Security, National Security, Network Security","Halifax, Nova Scotia, Canada",369549.0,Grant,535367.0,Seed,3.0,2018.0,2019-06,20192Q,Atlantic Canada Opportunities Agency, National Research Council Canada, Rodrigo Branco,,,,,
17doubao.com,"Enterprise, Information Technology, Insurance, Internet, Security","Beijing, Beijing, China",14150592.0,Series C,14150592.0,Late Stage Venture,2.0,,2019-03,20191Q,Bojiang Capital, Capital Wings,,,,Asia-Pacific (APAC),,
Agora Innovation,"Blockchain, Cryptocurrency","Frankfurt, Hessen, Germany",852372.0,Seed,852372.0,Seed,1.0,2017.0,2019-02,20191Q,High-Tech Gründerfonds,,,,,European Union (EU),,
Zeus Exchange,"Blockchain, Financial Exchanges, Financial Services, Trading Platform","Singapore, Central Region, Singapore",2750000.0,Seed,2750000.0,Seed,,2017.0,2019-05,20192Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Quro Protocol,"Blockchain, Renewable Energy","Berlin, Berlin, Germany",650000.0,Seed,650000.0,Seed,,2018.0,2019-04,20192Q,,,,,,European Union (EU),,
"Turn Technologies, Inc.","Artificial Intelligence, Developer APIs, Identity Management, Information Services, Internet, Legal Tech, Mobile Apps, SaaS, Software, Virtual Workforce","Chicago, Illinois, United States",40000.0,Venture - Series Unknown,40000.0,,1.0,2016.0,2019-03,20191Q,Keiretsu Forum,,,,,Greater Chicago Area, Great Lakes, Midwestern US
Guardknox,"Automotive, Cyber Security, Hardware, Software","Ramla, HaMerkaz, Israel",21000000.0,Series A,21000000.0,Early Stage Venture,10.0,2016.0,2019-06,20192Q,Allied Minds, Faurecia, Fraser McCombs Capital, Glory Ventures, Plug and Play,,,
Kobalt,"Cloud Security, Cyber Security, Enterprise","Vancouver, British Columbia, Canada",744096.0,Seed,744096.0,Seed,3.0,2018.0,2019-05,20192Q,Boris Wertz, Pankaj Agarwal, Version One Ventures,,,,,
KudiGo,"Big Data, Blockchain, FinTech, Retail Technology","Accra, Greater Accra, Ghana",450000.0,Seed,450000.0,Seed,1.0,2017.0,2019-04,20192Q,Founders Factory Africa,,,,,,,
edgescan,"Cloud Computing, Cyber Security, SaaS","Dublin, Dublin, Ireland",744997.0,Grant,,,1.0,2014.0,2019-01,20191Q,Enterprise Ireland,,,,,European Union (EU),,
Ermes Cyber Security,"Computer, Network Security","Torino, Piemonte, Italy",672899.0,Seed,672899.0,Seed,3.0,2017.0,2019-07,20193Q,Angelo Italiano, I3P, Invitalia,,,European Union (EU),,
Bitcliq,"Artificial Intelligence, Blockchain, FinTech, Information Technology, Internet of Things","Caldas Da Rainha, Leiria, Portugal",679650.0,Seed,679650.0,Seed,2.0,2013.0,2019-02,20191Q,Indico Capital Partners, LC Ventures,,,,European Union (EU),,
Light Theto,"Autonomous Vehicles, Information Technology, Intelligent Systems, Security","Beijing, Beijing, China",14572798.0,Series B,14572798.0,Early Stage Venture,7.0,,2019-01,20191Q,Baidu Ventures, Cathay Capital, Lenovo Capital and Incubator Group (LCIG), Shunwei Capital, ZhenFund,Asia-Pacific (APAC),,
Experimental,"Blockchain, Cryptocurrency, Digital Entertainment, Gaming","Buenos Aires, Distrito Federal, Argentina",500000.0,Seed,500000.0,Seed,3.0,2018.0,2019-04,20192Q,Animoca Brands, Patricio Jutard, Sumit Gupta,,,,,
Trade Ecology Token,Blockchain,,28000000.0,Corporate Round,28000000.0,,2.0,,2019-04,20192Q,Foundation Capital, Pantera Capital,,,,,,
Ztable,"Apps, Network Security, Social","Stockholm, Stockholms Lan, Sweden",552845.0,Seed,552845.0,Seed,1.0,2016.0,2019-01,20191Q,Propel Capital,,,,,European Union (EU), Nordic Countries, Scandinavia
SecurityGate,Cyber Security,"Houston, Texas, United States",1000000.0,Seed,1000000.0,Seed,,2017.0,2019-03,20191Q,,,,,,Greater Houston Area, Southern US,
"Valqari, LLC","Delivery, Security, Transportation","Chicago, Illinois, United States",1500000.0,Seed,1500000.0,Seed,,2017.0,2019-03,20191Q,,,,,,Greater Chicago Area, Great Lakes, Midwestern US
Chronicled,"Blockchain, Enterprise Resource Planning (ERP), Enterprise Software, Internet, Supply Chain Management","San Francisco, California, United States",16000000.0,Series A,16000000.0,Early Stage Venture,16.0,2014.0,2019-01,20191Q,Pantera Capital, Plug and Play, Seattle Seahawks, Social Starts, Streamlined Ventures,San Francisco Bay Area, West Coast, Western US
EquipmentConnect,"Banking, Blockchain, Finance, FinTech, Information Technology, Peer to Peer, Small and Medium Businesses","London, England, United Kingdom",126200.0,Seed,126200.0,Seed,,2017.0,2019-06,20192Q,,,,,,European Union (EU),,
AREX Real Estate Technologies,"Artificial Intelligence, Blockchain, Commercial Real Estate, Real Estate","Madrid, Madrid, Spain",112010.0,Pre-Seed,112010.0,Seed,,2018.0,2019-05,20192Q,,,,,,European Union (EU),,
YallaBit,"Cryptocurrency, Financial Services, Internet","Sharq Hawalli, Al Kuwayt, Kuwait",265000.0,Angel,265000.0,Seed,,2017.0,2019-02,20191Q,,,,,,Gulf Cooperation Council (GCC),,
ARCATrust,Cyber Security,"Lausanne, Vaud, Switzerland",1506545.0,Seed,1506545.0,Seed,1.0,2018.0,2019-01,20191Q,Foundation for Technological Innovation (FIT),,,,,,,
VALR,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech, Trading Platform","Johannesburg, NA - South Africa, South Africa",1500000.0,Seed,1500000.0,Seed,1.0,2018.0,2019-02,20191Q,Montegray Capital,,,,,,,
The Nemesis,"Augmented Reality, Blockchain, Internet, Marketing, Video Games, Virtual Currency, Virtual Reality","Lugano, Ticino, Switzerland",300000.0,Pre-Seed,300000.0,Seed,1.0,2019.0,2019-04,20192Q,Embed Capital,,,,,,,
Blue Hexagon,"Artificial Intelligence, Cyber Security, Machine Learning","San Francisco, California, United States",31000000.0,Series B,31000000.0,Early Stage Venture,2.0,2017.0,2019-02,20191Q,Altimeter, Benchmark,,,,San Francisco Bay Area, West Coast, Western US
Vottun,"Blockchain, Information Technology","Los Angeles, California, United States",561792.0,Seed,561792.0,Seed,4.0,2018.0,2019-06,20192Q,Bbooster Ventures, ESADE, Lánzame Capital SL, RocaSalvatella,,Greater Los Angeles Area, West Coast, Western US
Cindx,"Cryptocurrency, Information Technology","Tallinn, Harjumaa, Estonia",3868840.0,Initial Coin Offering,3868840.0,,,2017.0,2019-05,20192Q,,,,,,European Union (EU),,
Meterian,"Cyber Security, Enterprise Software, Software","London, England, United Kingdom",177535.0,Seed,177535.0,Seed,2.0,2017.0,2019-05,20192Q,CyLon, Startup Funding Club,,,,European Union (EU),,
Centbee,"Bitcoin, Cryptocurrency, Financial Services","Gauteng, NA - South Africa, South Africa",1303833.0,Series A,1303833.0,Early Stage Venture,2.0,2017.0,2019-04,20192Q,Calvin Ayre, nChain,,,,,,
Fortanix,"Computer, Cyber Security, Security","Mountain View, California, United States",23000000.0,Series B,23000000.0,Early Stage Venture,4.0,2016.0,2019-01,20191Q,Foundation Capital, Inspovation Ventures, Intel Capital, NeoTribe Ventures,,San Francisco Bay Area, Silicon Valley, West Coast
Tor Project,"Government, Information Technology, Location Based Services, Messaging, Network Security, Project Management, Software","Cambridge, Massachusetts, United States",460000.0,Grant,,,,2002.0,2019-01,20191Q,,,,,,Greater Boston Area, East Coast, New England
SWAZM,Blockchain,"Bucharest, Bucuresti, Romania",560364.0,Seed,560364.0,Seed,1.0,2018.0,2019-05,20192Q,Armand Doru Domuta,,,,,European Union (EU),,
Curtail,"Intellectual Property, Network Security","Santa Barbara, California, United States",3250000.0,Seed,3250000.0,Seed,1.0,2015.0,2019-04,20192Q,Tarus Capital,,,,,West Coast, Western US,
Cambridge Blockchain,"Blockchain, Cyber Security, Financial Services, Identity Management, Information Technology, Privacy, Software","Cambridge, Massachusetts, United States",3500000.0,Series A,3500000.0,Early Stage Venture,10.0,2015.0,2019-04,20192Q,Digital Currency Group, Flourish Venture, Omidyar Network, Partech, PayPal,Greater Boston Area, East Coast, New England
Ribon,"Apps, Blockchain, Content Marketing, Information Technology, Social Impact","Brasilia, Distrito Especial, Colombia",300000.0,Seed,300000.0,Seed,2.0,2016.0,2019-02,20191Q,Cotidiano, Redpoint eventures,,,,,,
Beetles Cyber Security Ltd.,"Cloud Security, Consulting, Crowdsourcing, Cyber Security, Network Security, Penetration Testing, Security","Dhaka, Dhaka, Bangladesh",237853.0,Seed,237853.0,Seed,1.0,2017.0,2019-03,20191Q,BD Ventures,,,,,Asia-Pacific (APAC),,
Crowdz,"B2B, Blockchain, FinTech, Marketplace, Predictive Analytics, Supply Chain Management","Sunnyvale, California, United States",5500000.0,Series A,5500000.0,Early Stage Venture,22.0,2014.0,2019-05,20192Q,Barclays Investment Bank, Bold Capital Partners, First Derivatives, Techstars, Techstars Ventures,San Francisco Bay Area, Silicon Valley, West Coast
GoWithMi,"Blockchain, Mapping Services, Navigation","Singapore, Central Region, Singapore",1000000.0,Angel,1000000.0,Seed,2.0,2017.0,2019-02,20191Q,Consensus Lab, Ontology,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
monart,"Art, Artificial Intelligence, Blockchain, FinTech","Paris, Ile-de-France, France",250000.0,Seed,250000.0,Seed,,2018.0,2019-03,20191Q,,,,,,European Union (EU),,
Bamboocloud,"Identity Management, Software","Nanshan, Hunan, China",15000000.0,Series B,15000000.0,Early Stage Venture,3.0,,2019-05,20192Q,Fortune Venture Capital, Oriental Fortune Capital, Ziyu Capital,,,Asia-Pacific (APAC),,
VICI Sports,"Blockchain, Internet of Things, Software, Sports, TV, Video","Boston, Massachusetts, United States",274000.0,Pre-Seed,274000.0,Seed,1.0,2018.0,2019-02,20191Q,Techstars,,,,,Greater Boston Area, East Coast, New England
Vairt Inc.,"Blockchain, Financial Exchanges, FinTech, Marketplace, Real Estate Investment","Cincinnati, Ohio, United States",50000.0,Seed,50000.0,Seed,,2019.0,2019-01,20191Q,,,,,,Great Lakes, Midwestern US,
Hana Commercial Finance (“HCFI”),"Banking, Bitcoin, Financial Services","Los Angeles, California, United States",100000000.0,Debt Financing,,,,,2019-05,20192Q,,,,,,Greater Los Angeles Area, West Coast, Western US
CannCo,"Bitcoin, Consulting, Information Technology, Software","Los Angeles, California, United States",726633.0,Equity Crowdfunding,726633.0,,1.0,,2019-04,20192Q,StartEngine,,,,,Greater Los Angeles Area, West Coast, Western US
LastRoots,Cryptocurrency,"Tokyo, Tokyo, Japan",3500000.0,Series C,3500000.0,Late Stage Venture,2.0,2016.0,2019-03,20191Q,OKWave, SBI Investment,,,,Asia-Pacific (APAC),,
Photocert,"Automotive, Blockchain, Computer Vision, Developer APIs, Information Technology, Insurance, InsurTech, Risk Management, Software","London, England, United Kingdom",120000.0,Convertible Note,,,2.0,2016.0,2019-02,20191Q,Barclays, Techstars,,,,European Union (EU),,
Bayonet,"Analytics, Big Data, Database, E-Commerce, FinTech, Fraud Detection, Identity Management, Machine Learning, Risk Management, Security","Mexico City, Distrito Federal, Mexico",300000.0,Seed,300000.0,Seed,6.0,2016.0,2019-01,20191Q,ArkAngeles, Avalancha Ventures, MassChallenge, Mexamerica Ventures, Soldiers Field Angels,,,
Dongdong Sports,"Blockchain, E-Commerce, Internet, Sports","Tangshan, Hebei, China",2981025.0,Series A,2981025.0,Early Stage Venture,1.0,2018.0,2019-04,20192Q,Zhongxing Dacheng Investment Management,,,,,Asia-Pacific (APAC),,
Fish blockchain Technology,Blockchain,"Shenzhen, Guangdong, China",4464617.0,Angel,4464617.0,Seed,1.0,,2019-04,20192Q,UBIAI Technology,,,,,Asia-Pacific (APAC),,
krtkl inc.,"Artificial Intelligence, Communication Hardware, Computer Vision, Electronics, Field-Programmable Gate Array (FPGA), Hardware, Machine Learning, Real Time, Robotics, Security, Wireless","San Francisco, California, United States",81868.0,Grant,,Seed,1.0,2014.0,2019-01,20191Q,EASME - EU Executive Agency for SMEs,,,,,San Francisco Bay Area, West Coast, Western US
Evershare.io,"Audio, Blockchain, Independent Music, Music, Music Streaming, Publishing","Bristol, Bristol, City of, United Kingdom",444880.0,Grant,,,1.0,2017.0,2019-02,20191Q,Innovate UK,,,,,European Union (EU),,
GlobeDX,"Blockchain, FinTech","London, England, United Kingdom",150000.0,Seed,150000.0,Seed,1.0,,2019-03,20191Q,Y Combinator,,,,,European Union (EU),,
Stardust,"Blockchain, Gaming, Software","Palo Alto, California, United States",350000.0,Seed,350000.0,Seed,1.0,2018.0,2019-01,20191Q,MouseBelt,,,,,San Francisco Bay Area, Silicon Valley, West Coast
Snode Technologies,"Computer, Network Security","Gauteng, NA - South Africa, South Africa",50000.0,Grant,,,2.0,2016.0,2019-06,20192Q,Meltwater Entrepreneurial School of Technology (MEST), Microsoft,,,,,,
Agroninja,"Cyber Security, Health Care, Information Technology, Security","Csongrád, Csongrad, Hungary",179607.0,Seed,179607.0,Seed,2.0,2017.0,2019-04,20192Q,Hiventures Investment Fund, OXO Labs Ltd.,,,,European Union (EU),,
Zengold,"Blockchain, Cryptocurrency","Suzhou, Jiangsu, China",4000000.0,Angel,4000000.0,Seed,3.0,2017.0,2019-04,20192Q,Benson Oak Ventures, Elron Electronic Industries, Samsung Ventures,,,Asia-Pacific (APAC),,
LeapYear Technologies,"Enterprise Software, Machine Learning, Security","Berkeley, California, United States",25600000.0,Series B,25600000.0,Early Stage Venture,7.0,2014.0,2019-05,20192Q,Bain Capital Ventures, John Thompson, Lightspeed Venture Partners, Nyca Partners, SGH CAPITAL,San Francisco Bay Area, West Coast, Western US
D-ID,"Artificial Intelligence, Facial Recognition, Privacy","Tel Aviv, Tel Aviv, Israel",81868.0,Grant,4000000.0,Seed,9.0,2017.0,2019-01,20191Q,EASME - EU Executive Agency for SMEs, Foundation Capital, Hyundai Motor Company, Pegasus Tech Ventures, Y Combinator,,,
JSgenesis,"Blockchain, Cryptocurrency, FinTech, Real Estate, Software",,5804841.0,Venture - Series Unknown,5804841.0,,,,2019-04,20192Q,,,,,,,,
Orchid Labs,"Cyber Security, FinTech, Internet, Software","San Francisco, California, United States",7000000.0,Venture - Series Unknown,7000000.0,,18.0,2017.0,2019-05,20192Q,Andreessen Horowitz, Blockchain Capital, BoxGroup, Kenetic, Sequoia Capital,San Francisco Bay Area, West Coast, Western US
HubrisOne,"Blockchain, Cryptocurrency","London, England, United Kingdom",195529.0,Equity Crowdfunding,195529.0,,,2017.0,2019-02,20191Q,,,,,,European Union (EU),,
ProofID,Identity Management,"Manchester, Manchester, United Kingdom",3915902.0,Debt Financing,,,1.0,2008.0,2019-02,20191Q,BOOST&Co,,,,,European Union (EU),,
Muthopay,"Blockchain, FinTech, Internet, Payments, Retail Technology","Dhaka, Dhaka, Bangladesh",3500.0,Pre-Seed,3500.0,Seed,,2018.0,2019-03,20191Q,,,,,,Asia-Pacific (APAC),,
Samourai Wallet,"Apps, Blockchain, Venture Capital","Uxbridge, Hillingdon, United Kingdom",100000.0,Venture - Series Unknown,100000.0,,1.0,,2019-06,20192Q,Cypherpunk Holdings Inc.,,,,,European Union (EU),,
TronWallet,"Blockchain, Cryptocurrency, FinTech, Mobile Payments, Payments","Vancouver, British Columbia, Canada",800000.0,Initial Coin Offering,800000.0,,1.0,2018.0,2019-01,20191Q,Tron,,,,,,,
Ligero,"Blockchain, Cryptocurrency","Rochester, New York, United States",1150000.0,Seed,1150000.0,Seed,1.0,,2019-03,20191Q,ConsenSys,,,,,Great Lakes, East Coast, Northeastern US
Ninjapromo,"App Marketing, Blockchain, Brand Marketing, Content Creators, Content Marketing, Creative Agency, Digital Marketing, Marketing, Social Media, Social Media Marketing","Minsk, Minsk, Belarus",400000.0,Seed,400000.0,Seed,1.0,2017.0,2019-03,20191Q,Capital Partners,,,,,,,
